n_neighbors,metric,pca_kernel,pca_dim,score1,score2
1,euclidean,,,0.9155,0.923
1,euclidean,,8.0,0.8295,0.8335000000000001
1,euclidean,,16.0,0.9055,0.909
1,euclidean,,32.0,0.9259999999999999,0.933
1,euclidean,,64.0,0.923,0.9315
1,euclidean,,128.0,0.9164999999999999,0.923
1,euclidean,rbf,,0.9155,0.923
1,euclidean,rbf,8.0,0.7449999999999999,0.7590000000000001
1,euclidean,rbf,16.0,0.8405000000000001,0.8400000000000001
1,euclidean,rbf,32.0,0.867,0.8625
1,euclidean,rbf,64.0,0.8605,0.867
1,euclidean,rbf,128.0,0.8565000000000002,0.8615
1,euclidean,sigmoid,,0.9155,0.923
1,euclidean,sigmoid,8.0,0.788,0.8140000000000001
1,euclidean,sigmoid,16.0,0.8764999999999998,0.882
1,euclidean,sigmoid,32.0,0.9055,0.9059999999999999
1,euclidean,sigmoid,64.0,0.8955,0.9025000000000001
1,euclidean,sigmoid,128.0,0.885,0.8979999999999999
1,manhattan,,,0.9019999999999999,0.9125
1,manhattan,,8.0,0.8150000000000001,0.8294999999999998
1,manhattan,,16.0,0.8939999999999999,0.9020000000000001
1,manhattan,,32.0,0.9195,0.9225
1,manhattan,,64.0,0.908,0.924
1,manhattan,,128.0,0.8895,0.8965
1,manhattan,rbf,,0.9019999999999999,0.9125
1,manhattan,rbf,8.0,0.7384999999999999,0.7440000000000001
1,manhattan,rbf,16.0,0.851,0.8325000000000001
1,manhattan,rbf,32.0,0.8695,0.8644999999999999
1,manhattan,rbf,64.0,0.8535,0.8644999999999999
1,manhattan,rbf,128.0,0.8404999999999999,0.851
1,manhattan,sigmoid,,0.9019999999999999,0.9125
1,manhattan,sigmoid,8.0,0.7879999999999999,0.8015000000000001
1,manhattan,sigmoid,16.0,0.8655000000000002,0.8735000000000002
1,manhattan,sigmoid,32.0,0.9055,0.901
1,manhattan,sigmoid,64.0,0.89,0.8960000000000001
1,manhattan,sigmoid,128.0,0.8620000000000001,0.8674999999999999
1,cosine,,,0.923,0.9279999999999999
1,cosine,,8.0,0.8200000000000001,0.837
1,cosine,,16.0,0.9125,0.9095000000000001
1,cosine,,32.0,0.9295000000000002,0.9359999999999999
1,cosine,,64.0,0.9245000000000001,0.9369999999999999
1,cosine,,128.0,0.9209999999999999,0.9339999999999999
1,cosine,rbf,,0.923,0.9279999999999999
1,cosine,rbf,8.0,0.757,0.7605000000000001
1,cosine,rbf,16.0,0.8425,0.8450000000000001
1,cosine,rbf,32.0,0.8654999999999999,0.8744999999999999
1,cosine,rbf,64.0,0.8634999999999999,0.8664999999999999
1,cosine,rbf,128.0,0.857,0.8634999999999999
1,cosine,sigmoid,,0.923,0.9279999999999999
1,cosine,sigmoid,8.0,0.7885000000000001,0.8164999999999999
1,cosine,sigmoid,16.0,0.873,0.8795
1,cosine,sigmoid,32.0,0.9035,0.909
1,cosine,sigmoid,64.0,0.905,0.9125
1,cosine,sigmoid,128.0,0.893,0.897
