svm_kernel,pca_kernel,pca_dim,score1,score2
poly,,,0.9015000000000001,0.9095000000000001
poly,,8.0,0.8414999999999999,0.8535
poly,,16.0,0.923,0.9219999999999999
poly,,32.0,0.938,0.9415000000000001
poly,,64.0,0.938,0.943
poly,,128.0,0.9315,0.9385
poly,rbf,,0.9015000000000001,0.9095000000000001
poly,rbf,8.0,0.7415,0.7764999999999999
poly,rbf,16.0,0.8474999999999999,0.8629999999999999
poly,rbf,32.0,0.875,0.877
poly,rbf,64.0,0.8859999999999999,0.8809999999999999
poly,rbf,128.0,0.8844999999999998,0.8825000000000001
poly,sigmoid,,0.9015000000000001,0.9095000000000001
poly,sigmoid,8.0,0.8140000000000001,0.8305
poly,sigmoid,16.0,0.9025000000000001,0.8995000000000001
poly,sigmoid,32.0,0.9195,0.9115
poly,sigmoid,64.0,0.916,0.9125
poly,sigmoid,128.0,0.9055,0.9029999999999999
rbf,,,0.9339999999999999,0.938
rbf,,8.0,0.858,0.8685
rbf,,16.0,0.932,0.9299999999999999
rbf,,32.0,0.9490000000000001,0.9410000000000001
rbf,,64.0,0.9475,0.946
rbf,,128.0,0.9410000000000001,0.9455
rbf,rbf,,0.9339999999999999,0.938
rbf,rbf,8.0,0.7685,0.8019999999999999
rbf,rbf,16.0,0.8654999999999999,0.8714999999999999
rbf,rbf,32.0,0.8955,0.8885
rbf,rbf,64.0,0.9005000000000001,0.9
rbf,rbf,128.0,0.8975,0.9004999999999999
rbf,sigmoid,,0.9339999999999999,0.938
rbf,sigmoid,8.0,0.85,0.8654999999999999
rbf,sigmoid,16.0,0.924,0.924
rbf,sigmoid,32.0,0.942,0.9364999999999999
rbf,sigmoid,64.0,0.9395,0.9390000000000001
rbf,sigmoid,128.0,0.9349999999999999,0.9385
